"","location"
"134","Udon Thani"
"135","Glasgow, Scotland"
"136","Philadelphia, PA"
"137","Austin, TX"
"138","London, Ontario, Canada"
"139","Compton, CA"
"140","new jers"
"141","Cuartero, Western Visayas, Phi"
"142","Dallas, TX"
"143","Del Castilho, Rio de Janeiro"
"144","985"
"145","West coast"
"146","London"
"147","Speakers Chair, House of Twits"
"148","Los Angeles, CA"
"149","oak/ucb"
"150","westfield indiana"
"151","Wisconsin, USA"
"152","Grand Junction, Colorado"
"153","New Zealand"
"154","Ohio, USA"
"155","Farnham Surrey"
"156","Brussels, Belgium"
"157","  Amsterd | Sought"
"158","Sociedade Esportiva Palmeiras "
"159","021"
"160","Chicago, Illinois"
"161","Cabo Frio / RJ"
"162","United Kingdom"
"163","United States"
"164","Barbados"
"165","Vila So Luis, Caxias"
"166","Lagos, Nigeria"
"167","New Orleans, LA"
"168","54200"
"169","Icara, Niteri"
"170","Marymount Manhattan '19"
"171","Florida"
"172","Localizandoo"
"173","London, UK (via Sydney)"
"174","Closer than you know "
"175","Houston, TX"
"176","Natal, Parnamirim - RN"
"177","Exit 4"
"178","Little Rock, AR"
"179","H-Town to Trapadoches"
"180","Luz, Nova Iguau"
"181","India"
"182","World"
"183","Designer"
"184","Fact Based World"
"185","Austin, TX"
"186","Snuggled up"
"187","Southern California, U.S."
"188"," Just Be Joyful"
"189","London, European Union "
"190","Norman, OK"
"191","+62 274"
"192","Deutschland"
"193","New York, NY"
"194","Ponta Grossa, Brasil"
"195","RJ"
"196","Albany, NY"
"197","Brussels, Belgium"
"198","THINADHOO DHEKUNU DHAAIRA"
"199","Winnipeg MB Canada. "
"200","027"
"201","Columbia, SC"
"202"," New York "
"203","Rio de Janeiro, Brazil"
"204","Cardiff"
"205","Rio de Janeiro, Brasil"
"206","Cornwall"
"207","So Joo da Serra, Brasil"
"208","Napa, CA"
"209","London, England"
"210","Waterloo, IA"
"211","Sydney, Australia"
"212","Vitoria, Brasil"
"213","Tanzania"
"214","Indonesia"
"215","Rio de Janeiro, Brasil"
"216","Hamburg"
"217","Boston, MA"
"218","Tokyo, Japan"
"219","The winter of our discontent."
"220","Bedford, UK"
"221","Ontario, CA"
"222","dallas, ga"
"223","Minnesota"
"224","gauteng_south africa_earth"
"225","London"
"226","Kensington London "
"227","Gym, Home, or work, "
"228","rj"
"229","Nova Friburgo"
"230","Marion, OH"
"231","Melbourne, Victoria"
"232","England, United Kingdom"
"233","Scottsdale, AZ"
"234","Medelln, Colombia"
"235","Canada!"
"236","Florida, USA"
"237","West Winfield, NY"
"238","We are here."
"239","USA"
"240","BR:LA"
"241","Michigan, USA"
"242","North Georgia"
"243","Maric, Brasil"
"244","England, United Kingdom"
"245","KL - Palo Alto"
"246","London / San Francisco"
"247","Rochester, NY | Terengganu, MY"
"248","harpenden"
"249","Own lane."
"250","Twin Cities, MN"
"251"," 039 "
"252","Featherstone, England"
"253","W/ hunter "
"254","rd"
"255","Dallas, TX"
"256","North Yorkshire"
"257","Brasil,Rio de Janeiro"
"258","Rio de Janeiro, Brasil"
"259","Aurora, IL"
"260","New York City"
"261","San Carlos, CA"
"262","Indonesia"
"263","New Jersey, USA"
"264","Bournemouth"
"265","Pacific Northwest, USA"
"266","Brasil"
"267","Fort Washington, PA"
"268","Arlington, VA"
"269","Indiana, USA"
"270","Ringside"
"271","United States"
"272","Walnut Creek, California"
"273","Vitria, Brasil"
"274","San Mateo County, California"
"275","UK"
"276","Canada"
"277","Rio de Janeiro"
"278","Barra Mansa/RJ/Brasil"
"279","NC"
"280","Kingston, Ontario"
"281","Cabo Frio, peroline"
"282","Rio de Janeiro, Brasil"
"283","Liverpool, England"
"284","Ontario, Canada"
"285","Savannah, GA"
"286","Oakville, ON"
"287","Where all the Koukles are ;)"
"288","Viladecans, Spain"
"289","here"
"290","Probably somewhere with coffee"
"291","Eastern Virginia"
"292","Barcelona, Catalua"
"293","Cambridge, England"
"294","Puta que pariu "
"295","With Izaac"
"296","the emptiness"
"297","Cleveland, OH"
"298","Melbourne, Australia"
"299","idk where im at"
"300","Derbyshire"
"301","Fluminense FC."
"302","Barcelona, Espaa"
"303","New Orleans, Louisiana"
"304","Witbank | Bloemfontein, SA"
"305","Vancouver, British Columbia"
"306","Arbroath"
"307","Bay area"
"308","Minneapolis, MN"
"309","Kings Landing"
"310","Corpus Christi, Texas"
"311","South Africa,Cape Town"
"312","Deep inside Occupied Scotland"
"313","Rio de Janeiro"
"314","Prunedale, CA"
"315","Baltimore, MD"
"316","NYC"
"317","London, England"
"318","Temecula, CA"
"319","19/07 "
"320","Belo horizonte , Brazil"
"321","Cardiff, Wales"
"322","Boston"
"323","South Carolina, USA"
"324","Dallas, TX"
"325","In the hills of New Jersey"
"326","England, United Kingdom"
"327","Pomona, CA"
"328","DC Baltimore            "
"329","Rio de Janeiro, Brazil"
"330","Manchester, England"
"331","uk "
"332","Atlanta, GA"
"333","Bogot"
"334","California, USA"
"335","Ireland"
"336","Anderson SC"
"337","Madison, WI"
"338","Los Angeles, CA"
"339","Trkiye"
"340","Potterhanworth, England"
"341","Cape Town "
"342","UK"
"343","europe"
"344","richmond"
"345","cheshire"
"346","Rotherham, England"
"347","norwich"
"348","Charlotte, North Carolina "
"349","Mars"
"350","Arlington, Texas"
"351","London, England"
"352","Alaska, USA"
"353","Las Vegas, Nevada"
"354","Canary Wharf, London"
"355","Dangerous Woman Tour"
"356","Utah"
"357","Amsterdam, The Netherlands"
"358","Rio de Janeiro https://www.instagram.com/guerreiro_ffc/"
"359","setor sul , Maracan"
"360","WV"
"361","Rahway, New Jersey"
"362","Canton, OH"
"363","Olympia, WA"
"364","San Diego"
"365","European Union"
"366","Fonte Grande, Vitria"
"367","West Yorkshire, England"
"368","Tarrant County, Texas"
"369","Madison, WI"
"370","new jersey USA"
"371","Corner Brook NL"
"372","Chapel Hill NC"
"373","Hell"
"374","Atlanta, Georgia"
"375","BRASIL"
"376","Buton, Sulawesi Tenggara"
"377","Lagos, Nigeria"
"378","Springtown, TX"
"379","London England"
"380","Teh internets"
"381","United Kingdom"
"382","Los Angeles but 's in Detroit"
"383","Gulf Shores, AL"
"384","Edinburgh, Scotland"
"385","Kansas City, Missouri"
"386","Manchester"
"387","Arlington, VA"
"388","+62"
"389","Des Moines, IA"
"390","Youngstown, OH"
"391","c a l i f o r n i a "
"392","027"
"393","Michigan"
"394","New York, NY"
"395","https://goo.gl/OG8Hdn"
"396","Canada"
"397","Somewhere in the country"
"398","South Carolina, USA"
"399","Dallas, TX"
"400","London is my country "
"401","Tampa Bay Area, FL"
"402","London"
"403","Miami, Florida"
"404","climbing to the top"
"405","UK"
"406","Knoxville, Tennessee, USA"
"407","Berea, KY"
"408","Richmond, VA "
"409","Leawood, KS"
"410","the netherlands"
"411","London, UK"
"412","Iloilo City"
"413","Sunderland, England"
"414","Sacramento"
"415","Mumbai - India"
"416","Jacksonville, Florida"
"417"," Antarctica"
"418","Dallas/Fort Worth"
"419","Washington, DC"
"420","New York, NY"
"421","Weston-super-Mare, England"
"422","Michigan"
"423","Jacksonville, FL"
"424","California, USA"
"425","Juiz de Fora (MG)"
"426","Canada"
"427","Somewhere in mexico "
"428","No."
"429","UK"
"430","Florida "
"431","Dubai"
"432","San Francisco, CA"
"433","Norway"
"434","J"
"435","Niteri, Rio de Janeiro, Brasil"
"436","Enschede, Nederland"
"437","When you need to know now"
"438","https://gab.ai/AwakeOne"
"439","canberra"
"440"," We Soar Above All "
"441","Petrpolis, Brasil"
"442","AUSTRALIA"
"443","On my device"
"444","London, England"
"445","Rio de Janeiro, Brasil"
"446","Somewhere on a beach"
"447","Ireland"
"448","The White House"
"449","USA"
"450","Salvador"
"451","T: -26.092691,28.057064"
"452","Beverly Hills, CA"
"453","South Africa"
"454","United States"
"455","Wakefield, Liverpool, London."
"456","Santa Maria de Jetib, Brasil"
"457","Arlington, VA"
"458","Mount Vernon, VA"
"459","Tysons Corner, VA"
"460","Ashburn, VA"
"461","Greater Alexandria, VA"
"462","Washington, DC"
"463","Annandale, VA"
"464","Vancouver, Canada"
"465","Saquarema, Brasil"
"466","A Twee"
"467","Jual Peninggi Badan Tiens"
"468","Waltham, MA"
"469","Chandler, AZ"
"470","Jerez de la Frontera, Espaa"
"471","Lafayette, IN"
"472","26.04.2016  "
"473","Altea, Spain"
"474","Switzerland"
"475","Italy"
"476","West Country, UK"
"477","Dallas, TX"
"478","Naples, Florida"
"479","X"
"480","Georgia "
"481","021"
"482","RU // 21 // NJ"
"483","T: 41.054126,-73.821589"
"484","surrey "
"485","Rio de Janeiro, Brazil"
"486","London, England"
"487","Ypsilanti, MI"
"488","Sheffield, UK"
"489","Jamaica ( Iowa )."
"490","Columbia, SC"
"491","Z.O / 7 REGIAO "
"492","Volta Redonda, Brasil"
"493","RJ"
"494","Warrington"
"495","Close to you"
"496","next to the God's heart "
"497","Boynton Beach, FL"
"498","Brooklyn, NY"
"499","408"
"500","London"
"501","Chicago"
"502","Clonoe, Northern Ireland"
"503","Tucson, AZ"
"504","Parma, OH"
"505","Cornwall"
"506","Niteri, Brasil"
"507","L bre ag do chairde - dod adhlacadh, saighdiir NATO!List = Block!"
"508","America"
"509","arkansas"
"510","west yorkshire"
"511","Hobe Sound Fl"
"512","West Allis, WI"
"513","Michigan, USA"
"514","Brasil"
"515","Unknown"
"516","Durban, Pmburg, Pinetown"
"517","Houston, TX"
"518","Los Angeles, CA"
"519","United Kingdom"
"520","Raleigh, NC"
"521","Wharton, TX"
"522","Dayton, OH"
"523","nashville tn "
"524","Moscow, Russia"
"525","LA"
"526","Sc- janetgordy152"
"527","Florence, Tuscany"
"528","Sussex, England"
"529","Burke, Virginia"
"530","Chantilly, VA"
"531","Rio de Janeiro, Brasil"
"532","Canada"
"533","Rj"
"534","Houston, TX"
"535","Rhineland (Heartland)"
"536","Estdio Nilton Santos"
"537","I'm a travelling man"
"538","Weston, FL"
"539","Austin, TX"
"540","Reno, NV"
"541","South Africa"
"542","Ohio, USA"
"543","Lebanon, OH"
"544","Paraguachi"
"545","Los Angeles, CA"
"546","BayArea,CA."
"547","Sao Paulo, Brazil"
"548","#PNW"
"549","Dubai, United Arab Emirates"
"550","Alabama, Arkansas, Tennessee and Mississippi"
"551","Funkytown, Co. Cork."
"552","Dallas, TX"
"553","London, Paris"
"554","Vitria, Brasil"
"555","Arkansas"
"556","Dallas / Fort Worth"
"557"," o Miami, FL"
"558","Ireland"
"559","United States"
"560","Real America"
"561","Dallas-Fort Worth"
"562","YOW. "
"563","Dallas, TX"
"564","San Jose, CA"
"565","@satsukitv"
"566","Baltimore, MD"
"567","United States"
"568","they/them | FUBM FREE"
"569","Belm, Brasil"
"570","Hungary"
"571","Nova Braslia Niteri"
"572","London * Reading * United Kingdom"
"573","Liverpool, England"
"574","Oporto, Portugal"
"575","Utah"
"576","Fort Worth, TX"
"577","ICT, C-137"
"578","Salvador, Brazil"
"579","Goinia, Brasil"
"580","United Kingdom"
"581","Rio de Janeiro, Brasil"
"582","OT"
"583","Austin, Texas, USA"
"584","Arizona City, AZ"
"585","Ottawa, Ontario"
"586","james.w.jakobs@abc.com"
"587","Devo Books & such"
"588","Rio de Janeiro"
"589","Cambridgeshire/Uxbridge"
"590","Fresno, CA"
"591","Victoria, BC, Canada"
"592","Allison Park, PA"
"593","At the Masquerade"
"594","Beach Lvin"
"595","So Januario, Vasco da Gama"
"596","Minneapolis, Minnesota"
"597","USA"
"598","Wales, United Kingdom"
"599","Rio de Janeiro, Brasil"
"600","Weston-super-Mare, England"
"601","Morumbi . Cicero P. de Toledo"
"602","Texas, USA"
"603","Vanderbijlpark, South Africa"
"604","BRASIL. 10fev2015."
"605","Laranjeiras, Brasil"
"606","Hartford, CT"
"607","Springfield, NE"
"608","Between a rock and a hard place. "
"609","Colorado, USA"
"610","Boston, MA"
"611","Kenosha, WI"
"612","Boogie Wonderland, ON."
"613","H-Town"
"614","Beirut-Lebanon"
"615","Marion, Ohio"
"616","UK"
"617","New Orleans, LA"
"618","Buffalo, NY"
"619","Niteri, RJ, Brasil"
"620","USA"
"621","Anchorage"
"622","Il luogo in cui mi trovo ora."
"623","Colorado Springs"
"624","Austin, TX"
"625","Irrelevant"
"626","Barcelona"
"627","Prague, Czech Republic"
"628","London  NY  Milan  Tokyo "
"629","_Katlehong_[K1]"
"630","Costa Del somewhere near you "
"631","Na sua"
"632","So Paulo, Brasil"
"633","Harlem, NY"
"634","Rio de Janeiro, Brasil"
"635","Austin, TX"
"636","Between Antares & Betelgeuze"
"637","atx"
"638","California"
"639","Nor*Cal"
"640","California, USA"
"641","Rio de Janeiro, Brasil"
"642","Brasil "
"643","Toronto"
"644","Caxias City"
"645","San Francisco | Atlanta"
"646","Pueblo, CO"
"647","London, UK"
"648","@SWlTCHP "
"649","Conscious Lane, NC"
"650","Supernova"
"651","Maracan Setor Sul "
"652","Springs, South Africa"
"653","Baltimore, MD"
"654","San Juan, Puerto Rico"
"655","World"
"656","anakkale, Trkiye"
"657","Bonn, Germany"
"658","Richmond, KY"
"659","Austin, TX"
"660","The Danger Zone"
"661","Malibu, California, USA"
"662","Cleveland to Phoenix"
"663","Em todo lugar"
"664","Halifax, Nova Scotia, Canada"
"665","#TSRA, LTC, #NRA"
"666","Cedar Rapids, IA"
"667","St. Thomas, Virgin Islands"
"668","Paris, France"
"669","Brs de Pina, Rio de Janeiro"
"670","O2L2/6+R"
"671","Saskatchewan, Canadaland"
"672","not important"
"673","Rio de Janeiro, Brazil"
"674","Alameda, CA"
"675","your mom"
"676","Unceded Kanien'keha:Ka Lands "
"677","Midgar"
"678","Ontario Canada"
"679","Montral, Qubec"
"680","870"
"681"," ZN  RJ"
"682","Norwalk, CT"
"683","225"
"684","Stowe VT, USA"
"685","Los Angeles, CA"
"686","Rio de Janeiro, Brazil"
"687","el infinito y ms alla"
"688","I will never tell u ;3"
"689","Birmingham"
"690","pertinho de voc "
"691","Pietermaritzburg//Johannesburg"
"692","Wales, United Kingdom"
"693","Illinois"
"694","England, United Kingdom"
"695",", "
"696","Jakarta"
"697","Rio de Janeiro"
"698","Deutschland"
"699","Dreieich, Germany"
"700","Singapore"
"701","Nevada, USA"
"702","dirty bisexual"
"703","Recife-PE"
"704","Ross, OH"
"705","Volta Redonda - RJ"
"706","United States"
"707","flight784@gmail.com"
"708","eng/esp"
"709","albany, ny"
"710","Dallas, Texas"
"711","Cape Town"
"712","Leominster, England"
"713","known galaxy"
"714","NYC"
"715","California, USA"
"716","Sioux Falls, SD"
"717","MEDELLN Do J  Fallet"
"718","Earth"
"719","USA"
"720","Ypres - Flanders Fields "
"721","United States"
"722","Near Chicago, IL "
"723","Buda, TX"
"724","London"
"725","Verona, New Jersey"
"726","United States"
"727","Glasgow"
"728","New York State"
"729","Wakanda"
"730","California "
"731","Bloomington, MN"
"732","Boss Angeles "
"733","Turku, Finland"
"734","Turkey"
"735","Missouri, USA"
"736","Colorado"
"737","Segredo, Brasil"
"738","North Chicago, IL"
"739","Bazzano (BO)"
"740","Boulder County Colorado"
"741","Somewhere In This Unverse"
"742","New Jersey, USA"
"743","Toronto, Ontario"
"744","Toronto Canada"
"745","The Land of Magical Thinking"
"746","Repblica de la EFTA (deseo) "
"747","por ahi!"
"748","Pittsburgh, PA"
"749","Nashville"
"750","Ridgefield, CT"
"751","Frankfurt on the Main, Germany"
"752","Buffalo, NY"
"753","United States"
"754","North West, England"
"755","Pozna, Polska"
"756","Ontario"
"757","Durban, South Africa"
"758","Starfleet Command, Earth"
"759","Goiabeiras, Vitria"
"760","Nantes, France"
"761","San Francisco, CA"
"762","Ogden, UT"
"763","220 Essie Davison, Clarinda IA"
"764","College Station, TX"
"765","Gujranwala, Pakistan"
"766","  "
"767","Venezuela online"
"768","Birmingham, AL"
"769","     "
"770","Randburg, South Africa"
"771","New Orleans, Louisiana"
"772","14 States across the MidSouth"
"773","Jardim da Penha, Vitria"
"774","Indianapolis, IN"
"775","Houston, TX"
"776","Blackburn"
"777","London, England"
"778","London/Northern Ireland "
"779","Portland, OR"
"780","Toronto"
"781","Trim, Ireland"
"782","San Francisco, CA"
"783","74 Oxford rd,Houghton, JHB"
"784","256  334 "
"785","st.albert "
"786","Oakland, CA"
"787","Florida"
"788","Omaha"
"789","Rio de Janeiro, Brazil"
"790","Venezuela"
"791","Michigan, USA"
"792","Stamford, CT"
"793","So Paulo, Brazil"
"794","Memphis, TN"
"795","Vancouver, British Columbia"
"796","Glo' Up"
"797","Cork Boi!"
"798","Atlanta, GA"
"799","South East Asia"
"800","Baltimore, Maryland"
"801","Calgary, AB"
"802","Nevada"
"803","22.05.17 | 04.06.17"
"804","Ottawa, Ontario"
"805","United States"
"806","954 - 305"
"807","www.lauralarue.com"
"808","Lneburg, Germany"
"809","Clarington, Ohio"
"810","Boise, ID"
"811","Eatonton, GA"
"812","Obat Peninggi Badan Alami"
"813","Atascocita, TX"
"814","Florida, USA"
"815","Frederick, MD"
"816","Antigua and Barbuda"
"817","Charlotte, NC"
"818","A Place"
"819","Rio de Janeiro, Brasil"
"820","San Francisco, CA"
"821","Rio Pinar, FL"
"822","S.E. Michigan USA"
"823","Pittsburgh, PA"
"824","Batroun"
"825","Washington, DC"
"826","Boksburg, South Africa"
"827","Toronto,Canada"
"828","Rio de Janeiro, Brasil"
"829","Arizona, USA"
"830","Atlanta, GA 30314"
"831","Huanuco, Peru"
"832","South Africa, Pretoria"
"833","Pennsylvania, USA"
"834","Philadelphia"
"835","Johannesburg, South Africa"
"836","Salvador "
"837","New York City"
"838","Oxford."
"839","Ogies, South Africa"
"840","RAWsatch Front"
"841","Pretoria || Giyani"
"842","upstate SC"
"843","Pennsylvania"
"844","The Steel City "
"845","Manchester, England"
"846","Port Elizabeth, South Africa"
"847","Birmingham, MI"
"848","Park City, UT"
"849","California, USA"
"850","Port Elizabeth, South Africa"
"851","Midrand, South Africa"
"852","Schodack Center, NY"
"853","Glendale CA"
"854","Washington, DC, USA"
"855","Edmonton, Alberta"
"856","Comfy Chair Pontification. "
"857","Toronto, Ontario"
"858","Kansas City, MO"
"859","Edinburgh, Scotland"
"860","Midwest !!!!"
"861","Northamptonshire"
"862","Johannesburg, South Africa"
"863","United States"
"864","d b n "
"865","Rio de Janeiro, Brazil"
"866","Reus, Repblica Catalana"
"867","Tunisia"
"868","Ely, England"
"869","trololandia"
"870","The Nation's Capital"
"871","Las Vegas, Nevada"
"872","Rio de Janeiro"
"873","New York, NY"
"874","Alabama"
"875","Walsall"
"876","Florida"
"877","North East, England"
"878","Rio de Janeiro, Brasil"
"879","So jose , RS "
"880","Newbury Park, CA"
"881","Married in Rust Belt USA"
"882","Rio de Janeiro"
"883","Somewhere in SoCal"
"884","Im still in bed"
"885","LIVES IN BATH, ME- from New Haven,Ct"
"886","Atlanta, GA"
"887","Midwest"
"888","Ohio, USA"
"889","black isle  and witney "
"890","Ayr, Scotland"
"891","Jacarepagu, Rio de Janeiro"
"892","Mpls"
"893","MUSC - Charleston, SC"
"894","Jefferson City, MO"
"895","DC, LA, and airports worldwide"
"896","End of The Rainbow"
"897","Mishrif, Kuwait"
"898","Stuck in a rut "
"899","Post Falls, ID"
"900","Ottawa, ON"
"901","Volta Redonda"
"902","021"
"903","Santa Rosa, CA"
"904","In my partner's "
"905","Polokwane"
"906","Colorado, USA"
"907","UK"
"908","Potchefstroom, South Africa"
"909","Ireland"
"910","somewhere being cute and bi "
"911","Queenstown/Port Elizabeth"
"912","Rio de Janeiro"
"913","Manchester, England"
"914","Indianapolis, IN"
"915","Otley, England"
"916","Rj"
"917","Nottingham, England"
"918","some cave in some woods"
"919","USA"
"920","Washington, MO"
"921","Pacincia, Rio de Janeiro"
"922","KOTA - RAJASTHAN"
"923","Brasil"
"924","Nevada, USA"
"925","Johannesburg, South Africa"
"926","England"
"927","London"
"928","Newlands east  , South Africa"
"929","North West, England"
"930","Qubec, Qc Canada"
"931","The O.C."
"932","Waimanalo, HI"
"933","Jamaica"
"934","Detroit, MI"
"935","Memphis"
"936","Oulu, Finland"
"937","wakanda"
"938","Whitstable, Kent"
"939","Philadelphia, PA"
"940","Adelaide"
"941","Mpumalanga, Standerton"
"942","Worcester, MA"
"943","Jeddah"
"944","USA"
"945","022"
"946","Dublin, Ireland"
"947","Michigan, USA"
"948","Killeen, TX"
"949","Florianpolis, Brazil"
"950","United States"
"951","Planet Urf"
"952","UK"
"953","Ecuador !! "
"954","United States"
"955","Titusville Pa 16354"
"956","Denver, CO"
"957","Lagos, Nigeria"
"958","Texas  Michigan"
"959","Denmark"
"960","Rio de Janeiro, Brasil"
"961","..."
"962","London / Madrid"
"963","plymouth"
"964","na sua"
"965","Nagpur, Maharashtra, India"
"966","zoras domain"
"967","Texas"
"968","Hemel Hempstead"
"969","iPhone: -22.952206,-43.194134"
"970","Chicago, IL"
"971","Temple, TX"
"972","Quito, Ecuador"
"973","Duque de Caxias , Brasil "
"974","Toronto, Ontario"
"975","Nations Capitol"
"976","Port Elizabeth, SA"
"977","Ventura, California"
"978","Sacramento, CA"
"979","Texas, USA"
"980","So Gonalo, Brasil"
"981","USA "
"982","mariana.atencio@nbcuni.com "
"983","Greece"
"984","California, USA"
"985","Pittsburgh, PA"
"986","Long Island, NY"
"987","Cornwall"
"988","Basel-Stadt, Schweiz"
"989","South Africa"
"990","San Diego, CA"
"991","Atlanta, GA"
"992","England, United Kingdom"
"993","West Hartford, CT"
"994","Washington, DC"
"995","San Francisco, CA"
"996","Hertfordshire"
"997","down yonder to the left"
"998","Copacabana, Rio de Janeiro"
"999","Hogwarts"
"1000","Hondo, TX"
"1001","Republic of Croatia"
"1002","Washington, DC"
"1003","United States"
"1004","American living in Sweden"
"1005","Rio de Janeiro"
"1006","Trenton, NJ"
"1007","So Gonalo, RJ"
"1008","Berlim, Alemanha"
"1009","UK"
"1010","Bahia, Brasil"
"1011","somewhere in the desert"
"1012","Fort Worth, TX"
"1013","Dorchester UK"
"1014","Idaho"
"1015","Miami, FL"
"1016","Atlanta, GA"
"1017","South Africa"
"1018","Cidade Maravilhosa e Perdida"
"1019","Miami, Fl"
"1020","Newcastle Upon Tyne, England"
"1021","Lawton, OK"
"1022","Medicine Hat, Alberta, Canada"
"1023","Earth"
"1024","bk, ny"
"1025","Martinsburg,WestVirginia"
"1026","Braslia, Brazil"
"1027","Laranjeiras, Rio de Janeiro"
"1028","Land of the Dragon's"
"1029","East Belfast "
"1030","Rio de Janeiro ! "
"1031","Pretoria, South Africa"
"1032","Southern California"
"1033"," New York, NY"
"1034","London and all over the world"
"1035","Cicero, IL"
"1036","Rio de Janeiro"
"1037","Bali, Bumi"
"1038","Santa Barbara, CA"
"1039","Ontario, Canada"
"1040","Australia"
"1041","South Africa "
"1042","Jakarta"
"1043","Germany"
"1044","Rio de Janeiro, Brazil"
"1045","Soweto, South Africa"
"1046","Flyover State "
"1047","AZilla, Yo!"
"1048","Beira Rio melhor que Paris"
"1049","World"
"1050","Worldwide"
"1051","Puerto Rico"
"1052","Nova Iguau, Brasil"
"1053","Rio de Janeiro, Brasil"
"1054","UK"
"1055","Free State of Maryland"
"1056","Top Rope "
"1057","1/2 "
"1058","USA"
"1059","Missouri"
"1060","Boston, MA"
"1061","Washington, DC"
"1062","San Antonio, TX"
"1063","Acapulco "
"1064","Dartsville"
"1065","South Carolina, USA"
"1066","Virginia"
"1067","Under These Bitches Skin"
"1068","Seattle"
"1069","West University Place, TX"
"1070","Stanger, South Africa"
"1071","JHB South Africa"
"1072","Michigan"
"1073","Hinterlands of Arkansas, USA"
"1074","California"
"1075","Riyadh, Kingdom of Saudi Arabia"
"1076","Not there                     "
"1077","Angra dos Reis"
"1078","Milano"
"1079","at the end of the rainbow"
"1080","Okc.Oklahoma"
"1081","Buenos Aires, Argentina"
"1082","Plumas Lake, CA"
"1083","GLA"
"1084","Boston, MA"
"1085","Iowa"
"1086","Fairfield, CT; Wayland, MA"
"1087","Rio Bonito, Brasil"
"1088","Milford, CT"
"1089","Orlando, FL"
"1090","London"
"1091","England"
"1092","Not Russia!!  "
"1093","I fuckin vape in LA traffic"
"1094","Where's the nearest pizza joint?"
"1095","@bfr_may  "
"1096","Melbourne, Victoria"
"1097","Los Angeles, CA"
"1098","United Kingdom"
"1099","Sefton Park, Liverpool"
"1100","Watchung, NJ"
"1101","Irvine, CA"
"1102","Brooklyn, NY"
"1103","Chicago"
"1104","Connecticut"
"1105","Surrey, England"
"1106","Lawrence, KS"
